id	reason	timestamp	page_id	assessment_phase_in_session_id	session_id
832542	scroll	2023-12-15 22:22:26.849000 +00:00	24111	2701	7053
864671	scroll	2023-12-16 17:04:54.684000 +00:00	24532	2723	7081
832543	scroll	2023-12-15 22:22:36.161000 +00:00	24111	2701	7053
832544	scroll	2023-12-15 22:22:36.256000 +00:00	24111	2701	7053
832545	scroll	2023-12-15 22:22:36.662000 +00:00	24111	2701	7053
864672	scroll	2023-12-16 17:04:54.847000 +00:00	24532	2723	7081
1749088	scroll	2023-12-28 21:32:35.781000 +00:00	47227	6251	11501
832546	scroll	2023-12-15 22:22:36.693000 +00:00	24111	2701	7053
864673	scroll	2023-12-16 17:04:54.808000 +00:00	24532	2723	7081
1749089	scroll	2023-12-28 21:32:36.037000 +00:00	47227	6251	11501
832547	scroll	2023-12-15 22:22:36.821000 +00:00	24111	2701	7053
864674	scroll	2023-12-16 17:04:55.027000 +00:00	24532	2723	7081
1749090	scroll	2023-12-28 21:32:36.001000 +00:00	47227	6251	11501
1749091	scroll	2023-12-28 21:32:44.935000 +00:00	47227	6251	11501
1749092	scroll	2023-12-28 21:32:44.966000 +00:00	47227	6251	11501
1749093	scroll	2023-12-28 21:32:44.999000 +00:00	47227	6251	11501
832548	scroll	2023-12-15 22:22:38.786000 +00:00	24111	2701	7053
1749094	scroll	2023-12-28 21:32:45.063000 +00:00	47227	6251	11501
1749095	scroll	2023-12-28 21:32:45.184000 +00:00	47227	6251	11501
1749096	scroll	2023-12-28 21:32:45.122000 +00:00	47227	6251	11501
832549	scroll	2023-12-15 22:22:38.818000 +00:00	24111	2701	7053
1749097	scroll	2023-12-28 21:32:46.028000 +00:00	47227	6251	11501
832550	scroll	2023-12-15 22:22:38.853000 +00:00	24111	2701	7053
832551	scroll	2023-12-15 22:22:39.256000 +00:00	24111	2701	7053
1749098	scroll	2023-12-28 21:32:45.935000 +00:00	47227	6251	11501
1749099	scroll	2023-12-28 21:32:46.128000 +00:00	47227	6251	11501
1749100	scroll	2023-12-28 21:32:45.997000 +00:00	47227	6251	11501
832552	scroll	2023-12-15 22:22:39.380000 +00:00	24111	2701	7053
1749101	scroll	2023-12-28 21:32:46.063000 +00:00	47227	6251	11501
832553	scroll	2023-12-15 22:22:39.412000 +00:00	24111	2701	7053
1749151	scroll	2023-12-28 21:32:46.092000 +00:00	47227	6251	11501
1749152	scroll	2023-12-28 21:32:46.841000 +00:00	47227	6251	11501
832554	scroll	2023-12-15 22:22:39.849000 +00:00	24111	2701	7053
